1,POLIEVKA,"Brokolicovo-syrová polievka1,7","0,40l, maslo, múka, vývar, cibuľa, cesnak, bylinky, topený syr, strúhaný syr, smotana na varenie, soľ, korenie, brokolica, voda + 2ks pizza chlieb",2.6
2,POLIEVKA,"Kurací vývar s cestovinou1,3,7","0,40l, kuracie mäso, koreňová zelenina, voda, cestoviny, korenie, petržlenová vňať",1.8
3,POLIEVKA,"Cesnaková krémová polievka so syrom1,3,7","0,40l, cesnak, cibuľa, olej, zemiaky, soľ, korenie, syr, voda (zahusťovaná škrobovou múčkou)",1.8
4,POLIEVKA,Paradajková polievka so syrom7,"0,40l, paradajkový pretlak, paradajka, voda, cukor, soľ, korenie, bazalka, syr Eidam",1.8
5,SALAT,"Grécky šalát + pizza chlieb + dresing1,7","400g, paradajka, paprika, uhorka, olivy, syr Feta, cibuľa, olivový olej, 3 ks pizza chlieb, tzatziky dresing",5.5
6,SALAT,"Kurací steak na šaláte + pizza chlieb +dresing1,7","100/150/120/0,30g, kuracie prsia (100g), (listový šalát, uhorka, paradajka, mix 150g), syr feta (30g), 3 ks pizza chlieb, tzatziky dresing",5.9
7,SALAT,"Alte šalát s proscuttom + pizza chlieb + dresing1,7","400g, mix šalát, paradajka, uhorka, syr Feta, šunka Prosciutto (80g), syr Parmezán, olivový olej, 3 ks pizza chlieb, tzatziky dresing",9.9
8,SALAT,"Miešaný šalát1,7","150g, miešaná zelenina",1.5
9,SALAT,"Šalát s lososom + pizza chlieb + dresing1,3","120/150/20/120/0,30g, šalát mix, grilovaný losos (150g), strúhaný syr parmezán, 3ks pizza chlieb, tzatziky dresing",8.9
10,ZEMIAK_SPECIAL,"Zemiaková pizza z panvici s brokolicou3,7","350g, zemiaky, olivový olej, soľ, cesnak, vajce, smotana (kyslá), brokolica a mozzarela",5.5
11,ZEMIAK_SPECIAL,Zemiaková pizza z panvici pikante3,"400g, zemiaky, olivový olej, soľ, cesnak, vajce, paradajkový základ, klobása, slanina, čili",6.9
12,ZEMIAK_SPECIAL,Plnené zemiaky s kyslou kapustou a slaninkou3,400g,5.9
13,ZEMIAK_SPECIAL,"Spišské bryndzové pirohy s cibuĺou, slaninkou na smotane1,3,7","400g, (Cesto-múka, vajcia, voda, olej, soľ), zemiaky, bryndza, smotana, cibuľa, slanina, soľ",5.9
14,ZEMIAK_SPECIAL,"Bohatý farmársky tanier (250g sýrové halušky +350g bryndzové pirohy)1,3,7","250/350g, (Cesto-múka, soľ, zemiaky, voda, olej, vajcia), strúhaný syr eidam, bryndza, soľ, slanina, smotana, cibuľa",8.9
